"","x"
"Outside",0
"Phytoplankton",24.048101838501
"Bacteria",30.5954484416573
"Microzooplankton",4.22667445392712
"GelZooplankton",2.78654108023014
"LgCopepods",8.6818796151119
"SmCopepods",3.17341894183064
"Micronekton",3.01100372562004
"Illex",1.95134129183471
"Loligo",0.0766278788836688
"OtherCephalopods",0.262300615741687
"Macrobenthos",0.0319487864983365
"AmLobster",1.24437016573951
"OceanPout",0.365995224871749
"SmPelagics",0.373950815402168
"SmFlatfishes",0.0377973324583244
"NShrimp",0.118741325542588
"OtherShrimps",0.177812717999289
"RiverHerring",0.424101554634789
"AtlScallop",0.535886639580701
"OtherPelagics",0.0100798498943765
"AtlHerring",0.102577338217072
"Mesopelagics",0.886831206542189
"YTFlounder",0.0242247710575629
"Cod",0.279227354438709
"Haddock",0.389487036880001
"AmPlaice",0.0011628106861818
"AtlMackerel",0.00377620396975216
"AtlHalibut",0.0648395644797026
"SummerFlounder",0.323222141357332
"Cusk",0.384063350181154
"OtherDemersals",0.00681248712088127
"HMS",0.489282638089457
"OtherSkates",0.0969822005958163
"RedHake",0.0441519197450364
"Barndoor",0.45
"Fourspot",0.000864439640077957
"SmoothDogfish",0.44945240066352
"Pollock",0.253883343284579
"Goosefish",0.11170691239503
"SilverHake",0.00686130567273731
"WhiteHake",0.164271573698447
"SpinyDogfish",0.0461850003621473
"Redfish",0.000648212174370222
"LittleSkate",0.121971021566701
"SeaBirds",0.18907520704588
"Windowpane",0.0372399167192612
"WinterFlounder",0.0337235855307186
"WitchFlounder",0.210464455266261
"BlackSeaBass",0.00226385978145249
"Butterfish",0.610202743342416
"Sharks",0.0201521306224782
"WinterSkate",0.034218611249533
"Pinnipeds",0.0670805944266667
"BaleenWhales",0.0398981603011827
"Odontocetes",0.0299973532920007
"Megabenthos",1.17825764211889
"Detritus",0.17736484282832
"Discards",0.497440372260487
"Fixed Gear",0
"HMS Fleet",0
"LG Mesh",0
"Scallop Dredge",0
"Trap",0
"Other Dredge",0
"Other",0
"Pelagic",0
"SM Mesh",0
"Clam Dredge",0
