"","RPATH","ba","p"
"1","AmLobster",0.0169092922605935,3.80949612849785e-12
"2","AtlHerring",0.285168752542322,3.63501145874987e-07
"3","Cod",-0.0467394085754009,5.04268238032865e-12
"4","Fauna",-0.0337674733377528,0.0299859702726263
"5","Goosefish",-0.00505820744690379,1.09864029348766e-05
"6","Haddock",0.0469704318237647,0.00999656328941662
"7","NShrimp",0.00530189616500999,0.00151513086893794
"8","OtherSkates",-0.015024920942023,4.67775460134819e-07
"9","Pollock",-0.0694977724756939,0.00013055522212443
"10","RedHake",0.00714176565261474,5.72697891371171e-06
"11","Redfish",0.0416630585380085,7.71030789562598e-05
"12","SilverHake",0.0327915954744267,9.13494656110913e-05
"13","SpinyDogfish",0.17395725746597,4.52074568946539e-07
"14","WhiteHake",-0.0190121822878286,0.000227703634042069
